title,date,run_time,genre,rating,introduction,director,stars,num_votes
Silver Man,2023-06-14,98,Drama,,"Average age of 60. Silver Man's little special delivery begins. 'Soon-cheol', a retired civil servant who dreamed of living alone, sends his wife first and finds out about the Silver Man ...",Choi Yun-ho,"Kim Jeong-pal, Park Sang-wook",
23 Short Films About the End of the World,2023-06-14,93,"Comedy, Drama, Fantasy",,"A fourth-wall-breaking, rule-defying collection of vignettes, monologues, short films and jokes about the end of everything.",Christen Kimbell,"Lisa Coronado, D'Angelo Midili, Frank Lawler, Cameron Lee Price",
Black Card Teaser,2023-06-14,,Comedy,,A white girl approaches the Black Student Union on how she can be black.,Travis Haughton,"Shawn Roundtree Jr., Cecily Dowd, Carrie Collins, Elijah Samuels",
1.5 Horsepower,2023-06-14,,Drama,,"Shirin, Ahmad's wife, plans to travel to France. This trip is about academic progress and Shirin must have her husband's permission to go abroad. Hamed does not give permission to his wife ...",Rasoul Kahani,Sorour Peyrovani,
Technocrats and Tribulations,2023-06-14,,,,Technocrats and Tribulations is a six-part détournement documentary series by Derek Swannson focused on the rise of global technofascism and for-profit totalitarianism in the years following the overhyped COVID-19 pandemic.,Derek Swannson,"Matt Alford, Harry Carnahan, Darwin K. Hoop, Derek Swannson",
List ozhidaniya...,2023-06-14,107,Drama,,"Doctor Oleg Korzun works in one of the medical institutions of Belarus and is going to leave for work in Germany. However, Oleg's plans change when he receives a patient who needs a heart and lung transplant at the same time.",Aleksandr Efremov,"Dmitriy Mukhin, Anastasiya Vasilyeva, Dmitriy Sutyrin, Valeriya Arlanova",
Ah love you,2023-06-14,,Music,,"Ah love you was song by a Nigerian singer Grantedboy. It was released on 12 April 2023, through his promoter Boy Marvel and has been distributed to all streaming platforms.",Boy Marvel Music,"Boy Marvel Music, Grantedboy",
Vú Em Dạy 'Yêu',2023-06-15,103,"Comedy, Romance",6.7,"On the brink of losing her home, Maddie finds an intriguing job listing: helicopter parents looking for someone to bring their introverted 19-year-old son out of his shell before college. She has one summer to make him a man or die trying.",Gene Stupnitsky,"Jennifer Lawrence, Andrew Barth Feldman, Laura Benanti, Matthew Broderick",20576
Ruby: Thủy Quái Tuổi Teen,2023-06-15,91,"Animation, Action, Adventure",5.8,"A shy adolescent learns that she comes from a fabled royal family of legendary sea krakens and that her destiny lies in the depths of the waters, which is bigger than she could have ever imagined.","Kirk DeMicco, Faryn Pearl","Jane Fonda, Lana Condor, Toni Collette, Colman Domingo",2791
Jagged Mind,2023-06-15,88,"Horror, Thriller",4.2,"Billie is plagued by blackouts and strange visions that lead her to discover she's stuck in a series of time loops, possibly related to her mysterious new girlfriend.",Kelley Kali,"Maisie Richardson-Sellers, Shannon Woodward, Rosaline Elbay, Shein Mompremier",408
Aged,2023-06-15,90,"Drama, Horror, Thriller",4.8,"After taking a temporary job as a caregiver, a young woman realizes her employer and the house have a dangerous, dark past.",Anubys Lopez,"Morgan Boss-Maltais, Carla Kidd, Dave McClain, Bria D'Aguanno",43
